PMT	slope	intercept
B1	0.420813299409537   -13.4875889914913
B2	0.404153589630659   -18.2405500195168
B3	0.397911319684104   -17.8079885827988
B4	0.372853757448985   50.4911431178044
T1	0.427514362479737   -30.8999363863645
T2	0.421134453020149   -31.8018539159116
T3	0.42396397912019    -31.935041891858
T4	0.422198121067963   24.0956412302862

